scene,slide_id,start,end,seconds,on_screen_headline,broll_or_visual,vo_first_line,notes
1,hook,0:00,0:18,18,"""Is the air in here clean?""","Presenter on camera, or slide only. No stock footage of sick people — ever.","Sooner or later, somebody asks you a question about your building that you can't actually answer.","Hold a full beat after the question before the next line."
2,question,0:18,0:50,32,"You are already spending money on air. None of it produces an answer.","Optional: generic office/lobby b-roll. Licensed stock only.","And it isn't because you're doing nothing. You're already paying for air.","Do not sneer at filters. Be fair to what the buyer already does."
3,proves-it,0:50,1:10,20,"""The only air and surface purification technology that proves its performance""","Full-screen gold statement slide. No b-roll — let it land.","So here's what caught my attention about PlasmaGuard.","The only gold slide in the video. This is the turn."
4,the-number,1:10,1:50,40,"A number on the wall, in the room, right now","BEST SHOT IN THE VIDEO: real sensor LCD with a live changing reading. Fall back to the product still.","This is the sensor. It plugs into a normal wall outlet.","If you cut a 60s version, keep scene 1 and this one."
5,what-it-does,1:50,2:25,35,"And what it is doing while it proves it","Slide only. Asterisk footnote must be legible on screen the whole time.","So what is it doing while it's proving it?","Footnote is read aloud AND shown. A crop that loses it cannot ship."
6,every-vent,2:25,2:55,30,"Every vent in the building becomes an air purification unit","Ideal: duct/vent b-roll or PlasmaGuard's animation of ion travel.","Here's the part most people don't expect.","Sells scale per dollar vs a portable unit."
7,install,2:55,3:25,30,"No construction. No new ductwork. No behaviour change.","Ideal: PlasmaGuard install footage of a generator on a duct wall.","Now the practical part, because this is where these conversations usually die.","Raising the ozone objection here is deliberate."
8,energy,3:25,3:50,25,"up to 40% energy savings","Slide only.","One more thing, and for some buildings it's the thing.","Say 'separate product' out loud. Never estimate a dollar saving."
9,applications,3:50,4:10,20,"Where PlasmaGuard says it belongs","Slide only. Partners may re-record this scene for their own market.","PlasmaGuard list where this belongs.","The only scene intended to be personalised per partner."
10,objections,4:10,4:45,35,"Let me answer them before you have to ask","Presenter on camera if you have one. This scene is about trust.","Three things are going through your head right now.","Highest-trust moment in the video."
11,offer,4:45,5:15,30,"One box. One price. Same for everyone.","Product trio still, or unboxing footage if PlasmaGuard supply it.","So, the offer. Six thousand dollars a system.","Commission disclosure is spoken HERE, before the CTA."
12,close,5:15,5:40,25,"Next time somebody asks, have an answer","Presenter on camera. Buttons appear as funnel cues, not burned-in graphics.","So here's what I'd do.","Soft CTA (sizing question) is the primary conversion, not the order button."
13,footnotes,5:40,5:48,8,"Claims, footnotes and who is who","Static end card. No motion, no music sting.","[SILENT]","Also paste this text into every platform description and embed page."
